Team A,Team B,Date,Time,Venue
National Bank,Ismaily,2025-05-01,17:00,Borg El Arab
Pyramids,Smouha,2025-05-01,20:00,Cairo Stadium
El Gouna,El Dakhleya,2025-05-02,17:00,Petro Sport Stadium
Future,Zed,2025-05-03,17:00,Military Academy Stadium
Zamalek,Modern Sport,2025-05-05,20:00,Al Salam Stadium
Ceramica,Masry,2025-05-05,17:00,Zed Club Stadium
Wadi Degla,Pharco,2025-05-06,17:00,Petro Sport Stadium
ENPPI,Talaea El Gaish,2025-05-06,20:00,Zed Club Stadium
Alexandria Union,Al Ahly,2025-05-07,20:00,Military Academy Stadium
El Dakhleya,Ceramica,2025-05-09,20:00,Cairo Stadium
Pharco,Zed,2025-05-10,20:00,El Sekka El Hadeed Stadium
Modern Sport,Zamalek,2025-05-10,17:00,Suez Stadium
Ismaily,El Gouna,2025-05-11,20:00,Zed Club Stadium
Talaea El Gaish,Alexandria Union,2025-05-11,17:00,Borg El Arab
Al Ahly,Smouha,2025-05-12,17:00,Military Academy Stadium
Pyramids,Masry,2025-05-13,17:00,Alexandria Stadium
ENPPI,Wadi Degla,2025-05-14,20:00,Cairo Stadium
Future,National Bank,2025-05-14,17:00,Alexandria Stadium
Zamalek,Talaea El Gaish,2025-05-15,20:00,Borg El Arab
Pharco,Modern Sport,2025-05-15,17:00,Suez Stadium
Smouha,Pyramids,2025-05-17,20:00,El Sekka El Hadeed Stadium
Ismaily,National Bank,2025-05-19,17:00,Cairo Stadium
Masry,Zed,2025-05-19,20:00,Al Salam Stadium
Wadi Degla,Alexandria Union,2025-05-20,20:00,Petro Sport Stadium
Al Ahly,El Dakhleya,2025-05-20,17:00,Air Defense Stadium
Ceramica,ENPPI,2025-05-21,17:00,Petro Sport Stadium
El Gouna,Future,2025-05-21,20:00,Suez Stadium
Talaea El Gaish,Zed,2025-05-24,20:00,Air Defense Stadium
Smouha,Ismaily,2025-05-24,17:00,Al Salam Stadium
Al Ahly,Future,2025-05-25,17:00,Petro Sport Stadium
El Gouna,Zamalek,2025-05-25,20:00,Air Defense Stadium
Ceramica,Pharco,2025-05-26,17:00,Alexandria Stadium
Masry,Alexandria Union,2025-05-26,20:00,Military Academy Stadium
El Dakhleya,ENPPI,2025-05-27,20:00,El Sekka El Hadeed Stadium
Pyramids,National Bank,2025-05-27,17:00,Al Salam Stadium
Modern Sport,Wadi Degla,2025-05-28,20:00,Air Defense Stadium
Zed,Talaea El Gaish,2025-05-29,20:00,Zed Club Stadium
Zamalek,Future,2025-05-29,17:00,Suez Stadium
Ismaily,Masry,2025-05-30,20:00,Air Defense Stadium
Smouha,Ceramica,2025-05-30,17:00,Borg El Arab
