Date,Time,Opponent,Venue
2025-05-07,20:00,National Bank,Air Defense Stadium
2025-05-14,17:00,National Bank,Cairo Stadium
2025-05-21,20:00,Modern Sport,Alexandria Stadium
2025-05-27,17:00,ENPPI,Cairo Stadium
2025-05-31,17:00,El Dakhleya,Air Defense Stadium
2025-06-07,20:00,Zed,Al Salam Stadium
2025-06-15,17:00,Masry,Zed Club Stadium
2025-06-25,17:00,Pharco,Alexandria Stadium
2025-07-02,20:00,Ceramica,Suez Stadium
2025-07-09,20:00,Smouha,Petro Sport Stadium
2025-07-15,20:00,Alexandria Union,El Sekka El Hadeed Stadium
2025-07-21,20:00,Modern Sport,Zed Club Stadium
2025-07-29,20:00,Ceramica,Alexandria Stadium
2025-08-04,17:00,Zamalek,Zed Club Stadium
2025-08-13,17:00,Ismaily,Al Salam Stadium
2025-08-17,20:00,Pharco,Borg El Arab
2025-08-23,17:00,Zamalek,Air Defense Stadium
2025-09-03,17:00,Future,Air Defense Stadium
2025-09-09,20:00,Talaea El Gaish,Air Defense Stadium
2025-09-16,17:00,Pyramids,Cairo Stadium
2025-09-20,17:00,Smouha,Cairo Stadium
2025-09-28,17:00,Talaea El Gaish,Borg El Arab
2025-10-06,17:00,Future,Suez Stadium
2025-10-15,17:00,ENPPI,Cairo Stadium
2025-10-22,17:00,Pyramids,Air Defense Stadium
2025-10-29,20:00,Masry,Cairo Stadium
2025-11-02,17:00,Zed,Petro Sport Stadium
2025-11-08,17:00,Wadi Degla,Borg El Arab
2025-11-24,20:00,El Gouna,Zed Club Stadium
2025-12-03,17:00,Alexandria Union,Zed Club Stadium
2025-12-08,20:00,El Dakhleya,El Sekka El Hadeed Stadium
2025-12-16,17:00,El Gouna,El Sekka El Hadeed Stadium
2025-12-21,20:00,Ismaily,El Sekka El Hadeed Stadium
2025-12-30,20:00,Wadi Degla,El Sekka El Hadeed Stadium
