Date,Time,Opponent,Venue
2025-05-02,17:00,El Gouna,Alexandria Stadium
2025-05-12,20:00,Zamalek,Borg El Arab
2025-05-19,20:00,National Bank,Borg El Arab
2025-05-24,20:00,Pharco,Al Salam Stadium
2025-05-31,17:00,Al Ahly,Air Defense Stadium
2025-06-09,17:00,Zamalek,Al Salam Stadium
2025-06-16,17:00,Talaea El Gaish,El Sekka El Hadeed Stadium
2025-06-24,17:00,Ceramica,El Sekka El Hadeed Stadium
2025-06-28,17:00,Zed,Borg El Arab
2025-07-07,20:00,ENPPI,El Sekka El Hadeed Stadium
2025-07-14,17:00,Wadi Degla,Petro Sport Stadium
2025-07-18,20:00,Wadi Degla,Cairo Stadium
2025-07-28,17:00,Masry,Air Defense Stadium
2025-08-06,20:00,Pyramids,Petro Sport Stadium
2025-08-12,20:00,ENPPI,Petro Sport Stadium
2025-08-20,17:00,Modern Sport,Zed Club Stadium
2025-08-24,20:00,Alexandria Union,Cairo Stadium
2025-09-02,17:00,Zed,Military Academy Stadium
2025-09-10,20:00,Smouha,Borg El Arab
2025-09-14,17:00,Ceramica,El Sekka El Hadeed Stadium
2025-09-21,20:00,Alexandria Union,Petro Sport Stadium
2025-10-02,17:00,Talaea El Gaish,Zed Club Stadium
2025-10-10,20:00,Ismaily,Air Defense Stadium
2025-10-23,17:00,Pharco,Suez Stadium
2025-11-03,17:00,Masry,Air Defense Stadium
2025-11-19,17:00,El Gouna,Borg El Arab
2025-11-25,20:00,Modern Sport,Suez Stadium
2025-12-01,17:00,Pyramids,Borg El Arab
2025-12-08,20:00,Al Ahly,El Sekka El Hadeed Stadium
2025-12-17,20:00,National Bank,Zed Club Stadium
2025-12-24,17:00,Future,Petro Sport Stadium
2025-12-28,20:00,Ismaily,Borg El Arab
2026-01-03,20:00,Future,Alexandria Stadium
2026-01-12,20:00,Smouha,Cairo Stadium
