Date,Time,Opponent,Venue
2025-05-06,17:00,Zed,Cairo Stadium
2025-05-10,17:00,Alexandria Union,Al Salam Stadium
2025-05-16,17:00,El Gouna,Suez Stadium
2025-05-28,20:00,Modern Sport,El Sekka El Hadeed Stadium
2025-06-04,17:00,Ceramica,Zed Club Stadium
2025-06-11,17:00,ENPPI,El Sekka El Hadeed Stadium
2025-06-15,20:00,Modern Sport,Borg El Arab
2025-06-21,17:00,Wadi Degla,Borg El Arab
2025-06-26,20:00,El Gouna,Suez Stadium
2025-07-08,20:00,Wadi Degla,Petro Sport Stadium
2025-07-16,17:00,Pharco,Petro Sport Stadium
2025-07-23,20:00,Masry,Air Defense Stadium
2025-07-27,17:00,Zed,Cairo Stadium
2025-08-04,20:00,ENPPI,El Sekka El Hadeed Stadium
2025-08-09,20:00,Ceramica,Cairo Stadium
2025-08-20,20:00,Masry,El Sekka El Hadeed Stadium
2025-08-26,20:00,Pyramids,El Sekka El Hadeed Stadium
2025-09-03,17:00,Al Ahly,Air Defense Stadium
2025-09-08,20:00,Pharco,Suez Stadium
2025-09-13,20:00,National Bank,Military Academy Stadium
2025-09-24,17:00,Pyramids,Borg El Arab
2025-09-30,20:00,Ismaily,Zed Club Stadium
2025-10-06,17:00,Al Ahly,Suez Stadium
2025-10-12,17:00,Zamalek,Suez Stadium
2025-10-20,20:00,Ismaily,Borg El Arab
2025-10-25,20:00,Talaea El Gaish,Military Academy Stadium
2025-11-05,17:00,Smouha,Petro Sport Stadium
2025-11-11,20:00,Smouha,Petro Sport Stadium
2025-11-16,20:00,Zamalek,Petro Sport Stadium
2025-11-26,17:00,National Bank,Petro Sport Stadium
2025-12-09,20:00,Alexandria Union,Petro Sport Stadium
2025-12-24,17:00,El Dakhleya,Petro Sport Stadium
2025-12-28,17:00,Talaea El Gaish,El Sekka El Hadeed Stadium
2026-01-03,20:00,El Dakhleya,Alexandria Stadium
