Date,Time,Opponent,Venue
2025-05-01,17:00,Talaea El Gaish,Air Defense Stadium
2025-05-14,20:00,Ceramica,Suez Stadium
2025-05-20,17:00,Zed,Cairo Stadium
2025-05-24,17:00,Masry,Military Academy Stadium
2025-06-04,20:00,Zamalek,Al Salam Stadium
2025-06-08,17:00,Masry,Zed Club Stadium
2025-06-18,17:00,El Gouna,Petro Sport Stadium
2025-06-23,17:00,Pyramids,Al Salam Stadium
2025-06-29,17:00,Alexandria Union,Al Salam Stadium
2025-07-08,17:00,National Bank,Cairo Stadium
2025-07-13,20:00,Ceramica,Air Defense Stadium
2025-07-22,17:00,Smouha,Zed Club Stadium
2025-07-30,20:00,ENPPI,Military Academy Stadium
2025-08-05,20:00,Wadi Degla,Suez Stadium
2025-08-13,17:00,Al Ahly,Al Salam Stadium
2025-08-17,17:00,ENPPI,Air Defense Stadium
2025-08-25,20:00,Wadi Degla,Alexandria Stadium
2025-08-29,17:00,Pharco,Alexandria Stadium
2025-09-07,20:00,Zamalek,Military Academy Stadium
2025-09-13,17:00,Talaea El Gaish,Al Salam Stadium
2025-09-23,17:00,Modern Sport,Petro Sport Stadium
2025-09-30,20:00,Future,Zed Club Stadium
2025-10-06,20:00,El Gouna,Cairo Stadium
2025-10-10,20:00,El Dakhleya,Air Defense Stadium
2025-10-20,20:00,Future,Borg El Arab
2025-10-26,20:00,Smouha,Air Defense Stadium
2025-11-01,17:00,National Bank,Military Academy Stadium
2025-11-08,20:00,Zed,El Sekka El Hadeed Stadium
2025-11-17,17:00,Pyramids,Al Salam Stadium
2025-11-22,17:00,Alexandria Union,Air Defense Stadium
2025-11-29,17:00,Modern Sport,Military Academy Stadium
2025-12-05,17:00,Pharco,Cairo Stadium
2025-12-21,20:00,Al Ahly,El Sekka El Hadeed Stadium
2025-12-28,20:00,El Dakhleya,Borg El Arab
