Date,Time,Opponent,Venue
2025-05-03,20:00,Modern Sport,Military Academy Stadium
2025-05-13,17:00,ENPPI,Al Salam Stadium
2025-05-20,20:00,Ceramica,Alexandria Stadium
2025-05-24,17:00,Ismaily,Military Academy Stadium
2025-06-01,20:00,Pharco,Petro Sport Stadium
2025-06-08,17:00,Ismaily,Zed Club Stadium
2025-06-15,17:00,Al Ahly,Zed Club Stadium
2025-06-24,20:00,ENPPI,Suez Stadium
2025-07-01,20:00,National Bank,Alexandria Stadium
2025-07-07,17:00,Talaea El Gaish,Al Salam Stadium
2025-07-11,20:00,Modern Sport,Air Defense Stadium
2025-07-23,20:00,Future,Air Defense Stadium
2025-07-28,17:00,El Dakhleya,Air Defense Stadium
2025-08-03,17:00,Zed,Cairo Stadium
2025-08-13,20:00,Pyramids,El Sekka El Hadeed Stadium
2025-08-20,20:00,Future,El Sekka El Hadeed Stadium
2025-08-27,17:00,National Bank,Air Defense Stadium
2025-09-01,20:00,Smouha,Suez Stadium
2025-09-07,17:00,El Gouna,Alexandria Stadium
2025-09-15,17:00,Smouha,Zed Club Stadium
2025-09-21,17:00,Zamalek,Al Salam Stadium
2025-09-29,17:00,Pyramids,Alexandria Stadium
2025-10-05,17:00,Pharco,Alexandria Stadium
2025-10-14,17:00,Zed,Borg El Arab
2025-10-20,17:00,Alexandria Union,Cairo Stadium
2025-10-29,20:00,Al Ahly,Cairo Stadium
2025-11-03,17:00,El Dakhleya,Air Defense Stadium
2025-11-09,17:00,Alexandria Union,Petro Sport Stadium
2025-11-18,20:00,Wadi Degla,Zed Club Stadium
2025-11-23,20:00,Zamalek,Air Defense Stadium
2025-12-01,20:00,Ceramica,Cairo Stadium
2025-12-10,20:00,Talaea El Gaish,Air Defense Stadium
2025-12-23,20:00,Wadi Degla,Military Academy Stadium
2025-12-27,20:00,El Gouna,Cairo Stadium
