Date,Time,Opponent,Venue
2025-05-03,20:00,Masry,Military Academy Stadium
2025-05-11,17:00,Wadi Degla,Borg El Arab
2025-05-21,20:00,Al Ahly,Alexandria Stadium
2025-05-28,20:00,Future,El Sekka El Hadeed Stadium
2025-06-03,17:00,Alexandria Union,Petro Sport Stadium
2025-06-08,20:00,Pharco,El Sekka El Hadeed Stadium
2025-06-15,20:00,Future,Borg El Arab
2025-06-22,17:00,Smouha,Petro Sport Stadium
2025-07-01,17:00,Pyramids,Air Defense Stadium
2025-07-06,20:00,Pyramids,Petro Sport Stadium
2025-07-11,20:00,Masry,Air Defense Stadium
2025-07-21,20:00,Al Ahly,Zed Club Stadium
2025-07-30,17:00,Zamalek,Borg El Arab
2025-08-03,20:00,Ceramica,Zed Club Stadium
2025-08-08,20:00,El Gouna,Cairo Stadium
2025-08-20,17:00,El Dakhleya,Zed Club Stadium
2025-08-26,17:00,ENPPI,Alexandria Stadium
2025-08-31,17:00,Wadi Degla,Military Academy Stadium
2025-09-05,17:00,National Bank,Al Salam Stadium
2025-09-11,20:00,El Gouna,Petro Sport Stadium
2025-09-23,17:00,Ismaily,Petro Sport Stadium
2025-10-01,17:00,Pharco,El Sekka El Hadeed Stadium
2025-10-05,20:00,National Bank,Petro Sport Stadium
2025-10-14,20:00,Alexandria Union,Air Defense Stadium
2025-10-19,17:00,Talaea El Gaish,Air Defense Stadium
2025-10-26,17:00,Ceramica,Borg El Arab
2025-11-01,20:00,Zamalek,Air Defense Stadium
2025-11-10,17:00,Talaea El Gaish,Cairo Stadium
2025-11-18,17:00,Zed,Alexandria Stadium
2025-11-25,20:00,El Dakhleya,Suez Stadium
2025-11-29,17:00,Ismaily,Military Academy Stadium
2025-12-07,17:00,ENPPI,Suez Stadium
2025-12-15,20:00,Zed,Alexandria Stadium
2025-12-22,17:00,Smouha,Zed Club Stadium
