Date,Time,Opponent,Venue
2025-05-01,20:00,Zamalek,Alexandria Stadium
2025-05-09,17:00,Smouha,Borg El Arab
2025-05-18,20:00,Talaea El Gaish,Cairo Stadium
2025-05-24,20:00,El Dakhleya,Al Salam Stadium
2025-06-01,20:00,Masry,Petro Sport Stadium
2025-06-08,20:00,Modern Sport,El Sekka El Hadeed Stadium
2025-06-17,20:00,Alexandria Union,Petro Sport Stadium
2025-06-25,17:00,Al Ahly,Alexandria Stadium
2025-07-02,17:00,Zamalek,Alexandria Stadium
2025-07-16,17:00,Future,Petro Sport Stadium
2025-07-21,17:00,National Bank,Petro Sport Stadium
2025-07-25,20:00,El Gouna,Petro Sport Stadium
2025-07-31,17:00,Smouha,Air Defense Stadium
2025-08-09,17:00,Wadi Degla,Military Academy Stadium
2025-08-17,20:00,Al Ahly,Borg El Arab
2025-08-24,17:00,Ceramica,Military Academy Stadium
2025-08-29,17:00,Ismaily,Alexandria Stadium
2025-09-08,20:00,Future,Suez Stadium
2025-09-17,17:00,ENPPI,Suez Stadium
2025-09-22,17:00,National Bank,El Sekka El Hadeed Stadium
2025-10-01,17:00,Modern Sport,El Sekka El Hadeed Stadium
2025-10-05,17:00,Masry,Alexandria Stadium
2025-10-09,17:00,Talaea El Gaish,Al Salam Stadium
2025-10-19,20:00,Zed,Zed Club Stadium
2025-10-23,17:00,El Dakhleya,Suez Stadium
2025-11-02,20:00,El Gouna,Alexandria Stadium
2025-11-09,20:00,Pyramids,Alexandria Stadium
2025-11-15,17:00,Ceramica,Al Salam Stadium
2025-11-23,17:00,ENPPI,El Sekka El Hadeed Stadium
2025-11-30,17:00,Zed,Suez Stadium
2025-12-05,17:00,Ismaily,Cairo Stadium
2025-12-17,17:00,Alexandria Union,Al Salam Stadium
2025-12-30,17:00,Pyramids,Military Academy Stadium
2026-01-04,17:00,Wadi Degla,El Sekka El Hadeed Stadium
