Date,Time,Opponent,Venue
2025-05-06,17:00,Future,Cairo Stadium
2025-05-13,20:00,Pyramids,Borg El Arab
2025-05-20,17:00,Ismaily,Cairo Stadium
2025-05-28,17:00,Talaea El Gaish,Zed Club Stadium
2025-06-03,20:00,Wadi Degla,Borg El Arab
2025-06-07,20:00,Al Ahly,Al Salam Stadium
2025-06-18,20:00,Ceramica,Zed Club Stadium
2025-06-23,20:00,National Bank,Suez Stadium
2025-06-28,17:00,El Dakhleya,Borg El Arab
2025-07-06,17:00,Zamalek,Military Academy Stadium
2025-07-13,17:00,National Bank,Alexandria Stadium
2025-07-17,20:00,Zamalek,Al Salam Stadium
2025-07-27,17:00,Future,Cairo Stadium
2025-08-03,17:00,Masry,Cairo Stadium
2025-08-07,17:00,Smouha,Alexandria Stadium
2025-08-18,20:00,Pyramids,Al Salam Stadium
2025-08-27,20:00,El Gouna,Borg El Arab
2025-09-02,17:00,El Dakhleya,Military Academy Stadium
2025-09-08,17:00,Alexandria Union,Zed Club Stadium
2025-09-14,20:00,Wadi Degla,Alexandria Stadium
2025-09-22,20:00,El Gouna,Borg El Arab
2025-10-01,20:00,ENPPI,Military Academy Stadium
2025-10-08,17:00,ENPPI,Petro Sport Stadium
2025-10-14,17:00,Masry,Borg El Arab
2025-10-19,20:00,Pharco,Zed Club Stadium
2025-10-29,17:00,Alexandria Union,Zed Club Stadium
2025-11-02,17:00,Al Ahly,Petro Sport Stadium
2025-11-08,20:00,Ismaily,El Sekka El Hadeed Stadium
2025-11-18,17:00,Modern Sport,Alexandria Stadium
2025-11-25,17:00,Talaea El Gaish,Borg El Arab
2025-11-30,17:00,Pharco,Suez Stadium
2025-12-08,17:00,Smouha,Petro Sport Stadium
2025-12-15,20:00,Modern Sport,Alexandria Stadium
2025-12-31,17:00,Ceramica,Cairo Stadium
