Date,Time,Opponent,Venue
2025-05-04,20:00,Ceramica,Military Academy Stadium
2025-05-10,17:00,Future,Al Salam Stadium
2025-05-15,20:00,Smouha,Alexandria Stadium
2025-05-25,20:00,Pyramids,Cairo Stadium
2025-06-03,17:00,Modern Sport,Petro Sport Stadium
2025-06-10,17:00,National Bank,Petro Sport Stadium
2025-06-17,20:00,Pharco,Petro Sport Stadium
2025-06-25,20:00,Zamalek,Borg El Arab
2025-06-29,17:00,Ismaily,Al Salam Stadium
2025-07-15,20:00,Al Ahly,El Sekka El Hadeed Stadium
2025-07-23,17:00,Ceramica,Zed Club Stadium
2025-07-29,17:00,National Bank,Air Defense Stadium
2025-08-02,20:00,El Gouna,Petro Sport Stadium
2025-08-11,20:00,Talaea El Gaish,Cairo Stadium
2025-08-18,17:00,Wadi Degla,Petro Sport Stadium
2025-08-24,20:00,El Dakhleya,Cairo Stadium
2025-08-31,20:00,Pyramids,Alexandria Stadium
2025-09-08,17:00,Zed,Zed Club Stadium
2025-09-12,20:00,Zamalek,El Sekka El Hadeed Stadium
2025-09-21,20:00,El Dakhleya,Petro Sport Stadium
2025-09-27,20:00,Wadi Degla,Petro Sport Stadium
2025-10-14,20:00,Modern Sport,Air Defense Stadium
2025-10-20,17:00,Masry,Cairo Stadium
2025-10-29,17:00,Zed,Zed Club Stadium
2025-11-04,17:00,ENPPI,Zed Club Stadium
2025-11-09,17:00,Masry,Petro Sport Stadium
2025-11-16,17:00,ENPPI,Cairo Stadium
2025-11-22,17:00,Ismaily,Air Defense Stadium
2025-12-03,17:00,Al Ahly,Zed Club Stadium
2025-12-09,20:00,Future,Petro Sport Stadium
2025-12-17,17:00,Pharco,Al Salam Stadium
2025-12-23,17:00,El Gouna,El Sekka El Hadeed Stadium
2025-12-31,20:00,Smouha,Air Defense Stadium
2026-01-07,17:00,Talaea El Gaish,Military Academy Stadium
