Date,Time,Opponent,Venue
2025-05-04,20:00,Alexandria Union,Military Academy Stadium
2025-05-14,20:00,Ismaily,Suez Stadium
2025-05-20,20:00,Masry,Alexandria Stadium
2025-05-25,17:00,El Gouna,Petro Sport Stadium
2025-06-04,17:00,Future,Zed Club Stadium
2025-06-09,20:00,Talaea El Gaish,Cairo Stadium
2025-06-18,20:00,Zed,Zed Club Stadium
2025-06-24,17:00,El Dakhleya,El Sekka El Hadeed Stadium
2025-07-02,20:00,Al Ahly,Suez Stadium
2025-07-09,17:00,El Gouna,Al Salam Stadium
2025-07-13,20:00,Ismaily,Air Defense Stadium
2025-07-23,17:00,Alexandria Union,Zed Club Stadium
2025-07-29,20:00,Al Ahly,Alexandria Stadium
2025-08-03,20:00,Modern Sport,Zed Club Stadium
2025-08-09,20:00,Future,Cairo Stadium
2025-08-16,17:00,Smouha,Military Academy Stadium
2025-08-24,17:00,Pharco,Military Academy Stadium
2025-09-01,17:00,National Bank,Air Defense Stadium
2025-09-06,20:00,Wadi Degla,Zed Club Stadium
2025-09-14,17:00,El Dakhleya,El Sekka El Hadeed Stadium
2025-09-24,20:00,ENPPI,Suez Stadium
2025-09-29,20:00,National Bank,Borg El Arab
2025-10-04,20:00,Pyramids,Zed Club Stadium
2025-10-12,20:00,Smouha,Cairo Stadium
2025-10-22,20:00,Wadi Degla,Military Academy Stadium
2025-10-26,17:00,Modern Sport,Borg El Arab
2025-11-04,20:00,Pyramids,Alexandria Stadium
2025-11-15,17:00,Pharco,Al Salam Stadium
2025-12-01,20:00,Masry,Cairo Stadium
2025-12-07,20:00,Zamalek,Air Defense Stadium
2025-12-15,17:00,Talaea El Gaish,El Sekka El Hadeed Stadium
2025-12-21,17:00,ENPPI,Zed Club Stadium
2025-12-31,17:00,Zed,Cairo Stadium
2026-01-13,20:00,Zamalek,Al Salam Stadium
