Date,Time,Opponent,Venue
2025-05-07,17:00,Wadi Degla,Zed Club Stadium
2025-05-13,17:00,Masry,Al Salam Stadium
2025-05-19,17:00,Zamalek,Suez Stadium
2025-05-27,17:00,Al Ahly,Cairo Stadium
2025-06-02,17:00,Pyramids,Alexandria Stadium
2025-06-11,17:00,Future,El Sekka El Hadeed Stadium
2025-06-16,20:00,Smouha,Air Defense Stadium
2025-06-24,20:00,Masry,Suez Stadium
2025-06-30,20:00,Smouha,El Sekka El Hadeed Stadium
2025-07-07,20:00,El Dakhleya,El Sekka El Hadeed Stadium
2025-07-12,17:00,Zamalek,Petro Sport Stadium
2025-07-18,17:00,Talaea El Gaish,Military Academy Stadium
2025-07-30,20:00,Ismaily,Military Academy Stadium
2025-08-04,20:00,Future,El Sekka El Hadeed Stadium
2025-08-12,20:00,El Dakhleya,Petro Sport Stadium
2025-08-17,17:00,Ismaily,Air Defense Stadium
2025-08-26,17:00,Modern Sport,Alexandria Stadium
2025-08-30,20:00,Talaea El Gaish,Zed Club Stadium
2025-09-09,17:00,Pyramids,Military Academy Stadium
2025-09-17,17:00,Pharco,Suez Stadium
2025-09-24,20:00,Ceramica,Suez Stadium
2025-10-01,20:00,Zed,Military Academy Stadium
2025-10-08,17:00,Zed,Petro Sport Stadium
2025-10-15,17:00,Al Ahly,Cairo Stadium
2025-10-21,20:00,El Gouna,Military Academy Stadium
2025-10-27,20:00,National Bank,Petro Sport Stadium
2025-11-04,17:00,Alexandria Union,Zed Club Stadium
2025-11-11,17:00,El Gouna,Zed Club Stadium
2025-11-16,17:00,Alexandria Union,Cairo Stadium
2025-11-23,17:00,Pharco,El Sekka El Hadeed Stadium
2025-11-30,20:00,Wadi Degla,Air Defense Stadium
2025-12-07,17:00,Modern Sport,Suez Stadium
2025-12-21,17:00,Ceramica,Zed Club Stadium
2025-12-29,17:00,National Bank,El Sekka El Hadeed Stadium
