Date,Time,Opponent,Venue
2025-05-02,17:00,El Dakhleya,Alexandria Stadium
2025-05-11,20:00,Talaea El Gaish,Zed Club Stadium
2025-05-16,17:00,Future,Suez Stadium
2025-05-25,17:00,Ceramica,Petro Sport Stadium
2025-05-31,20:00,National Bank,El Sekka El Hadeed Stadium
2025-06-07,17:00,Wadi Degla,Zed Club Stadium
2025-06-18,17:00,Ismaily,Petro Sport Stadium
2025-06-22,20:00,Talaea El Gaish,Air Defense Stadium
2025-06-26,20:00,Future,Suez Stadium
2025-07-09,17:00,Ceramica,Al Salam Stadium
2025-07-15,17:00,Smouha,Borg El Arab
2025-07-20,17:00,Pyramids,Zed Club Stadium
2025-07-25,20:00,Pharco,Petro Sport Stadium
2025-08-02,20:00,Alexandria Union,Petro Sport Stadium
2025-08-08,20:00,Modern Sport,Cairo Stadium
2025-08-16,20:00,National Bank,Alexandria Stadium
2025-08-27,20:00,Zed,Borg El Arab
2025-09-03,20:00,Zamalek,Borg El Arab
2025-09-07,17:00,Masry,Alexandria Stadium
2025-09-11,20:00,Modern Sport,Petro Sport Stadium
2025-09-22,20:00,Zed,Borg El Arab
2025-09-27,17:00,Smouha,El Sekka El Hadeed Stadium
2025-10-06,20:00,Ismaily,Cairo Stadium
2025-10-13,17:00,Wadi Degla,El Sekka El Hadeed Stadium
2025-10-21,20:00,ENPPI,Military Academy Stadium
2025-11-02,20:00,Pharco,Alexandria Stadium
2025-11-11,17:00,ENPPI,Zed Club Stadium
2025-11-19,17:00,El Dakhleya,Borg El Arab
2025-11-24,20:00,Al Ahly,Zed Club Stadium
2025-12-10,17:00,Pyramids,Suez Stadium
2025-12-16,17:00,Al Ahly,El Sekka El Hadeed Stadium
2025-12-23,17:00,Alexandria Union,El Sekka El Hadeed Stadium
2025-12-27,20:00,Masry,Cairo Stadium
2026-01-20,20:00,Zamalek,Al Salam Stadium
