Date,Time,Opponent,Venue
2025-05-07,20:00,Al Ahly,Air Defense Stadium
2025-05-14,17:00,Al Ahly,Cairo Stadium
2025-05-19,20:00,El Dakhleya,Borg El Arab
2025-05-23,17:00,Smouha,Borg El Arab
2025-05-31,20:00,El Gouna,El Sekka El Hadeed Stadium
2025-06-10,17:00,Alexandria Union,Petro Sport Stadium
2025-06-14,20:00,Wadi Degla,Cairo Stadium
2025-06-23,20:00,Zed,Suez Stadium
2025-07-01,20:00,Masry,Alexandria Stadium
2025-07-08,17:00,Ismaily,Cairo Stadium
2025-07-13,17:00,Zed,Alexandria Stadium
2025-07-21,17:00,Pharco,Petro Sport Stadium
2025-07-29,17:00,Alexandria Union,Air Defense Stadium
2025-08-06,17:00,Talaea El Gaish,Cairo Stadium
2025-08-11,17:00,Zamalek,Al Salam Stadium
2025-08-16,20:00,El Gouna,Alexandria Stadium
2025-08-27,17:00,Masry,Air Defense Stadium
2025-09-01,17:00,Ceramica,Air Defense Stadium
2025-09-05,17:00,Modern Sport,Al Salam Stadium
2025-09-13,20:00,Future,Military Academy Stadium
2025-09-22,17:00,Pharco,El Sekka El Hadeed Stadium
2025-09-29,20:00,Ceramica,Borg El Arab
2025-10-05,20:00,Modern Sport,Petro Sport Stadium
2025-10-13,20:00,Pyramids,Military Academy Stadium
2025-10-17,20:00,Smouha,Al Salam Stadium
2025-10-27,20:00,ENPPI,Petro Sport Stadium
2025-11-01,17:00,Ismaily,Military Academy Stadium
2025-11-06,17:00,Zamalek,El Sekka El Hadeed Stadium
2025-11-19,20:00,Talaea El Gaish,El Sekka El Hadeed Stadium
2025-11-26,17:00,Future,Petro Sport Stadium
2025-12-09,17:00,Wadi Degla,Cairo Stadium
2025-12-17,20:00,El Dakhleya,Zed Club Stadium
2025-12-24,20:00,Pyramids,Zed Club Stadium
2025-12-29,17:00,ENPPI,El Sekka El Hadeed Stadium
