Date,Time,Opponent,Venue
2025-05-04,17:00,Smouha,Suez Stadium
2025-05-13,20:00,Zed,Borg El Arab
2025-05-18,17:00,Wadi Degla,Al Salam Stadium
2025-05-25,20:00,Alexandria Union,Cairo Stadium
2025-06-02,17:00,ENPPI,Alexandria Stadium
2025-06-11,20:00,Smouha,Military Academy Stadium
2025-06-17,17:00,Zamalek,El Sekka El Hadeed Stadium
2025-06-23,17:00,Ismaily,Al Salam Stadium
2025-07-01,17:00,Modern Sport,Air Defense Stadium
2025-07-06,20:00,Modern Sport,Petro Sport Stadium
2025-07-14,20:00,Talaea El Gaish,Suez Stadium
2025-07-20,17:00,El Gouna,Zed Club Stadium
2025-07-28,20:00,Talaea El Gaish,Military Academy Stadium
2025-08-06,20:00,El Dakhleya,Petro Sport Stadium
2025-08-13,20:00,Masry,El Sekka El Hadeed Stadium
2025-08-18,20:00,Zed,Al Salam Stadium
2025-08-26,20:00,Future,El Sekka El Hadeed Stadium
2025-08-31,20:00,Alexandria Union,Alexandria Stadium
2025-09-09,17:00,ENPPI,Military Academy Stadium
2025-09-16,17:00,Al Ahly,Cairo Stadium
2025-09-24,17:00,Future,Borg El Arab
2025-09-29,17:00,Masry,Alexandria Stadium
2025-10-04,20:00,Ceramica,Zed Club Stadium
2025-10-13,20:00,National Bank,Military Academy Stadium
2025-10-22,17:00,Al Ahly,Air Defense Stadium
2025-10-27,17:00,Zamalek,El Sekka El Hadeed Stadium
2025-11-04,20:00,Ceramica,Alexandria Stadium
2025-11-09,20:00,Pharco,Alexandria Stadium
2025-11-17,17:00,Ismaily,Al Salam Stadium
2025-12-01,17:00,El Dakhleya,Borg El Arab
2025-12-10,17:00,El Gouna,Suez Stadium
2025-12-24,20:00,National Bank,Zed Club Stadium
2025-12-30,17:00,Pharco,Military Academy Stadium
2026-01-14,17:00,Wadi Degla,Petro Sport Stadium
