Date,Time,Opponent,Venue
2025-05-04,17:00,Pyramids,Suez Stadium
2025-05-09,17:00,Pharco,Borg El Arab
2025-05-15,20:00,Alexandria Union,Alexandria Stadium
2025-05-23,17:00,National Bank,Borg El Arab
2025-06-02,20:00,Talaea El Gaish,Air Defense Stadium
2025-06-11,20:00,Pyramids,Military Academy Stadium
2025-06-16,20:00,ENPPI,Air Defense Stadium
2025-06-22,17:00,Modern Sport,Petro Sport Stadium
2025-06-30,20:00,ENPPI,El Sekka El Hadeed Stadium
2025-07-09,20:00,Al Ahly,Petro Sport Stadium
2025-07-15,17:00,El Gouna,Borg El Arab
2025-07-22,17:00,Ismaily,Zed Club Stadium
2025-07-27,20:00,Wadi Degla,Petro Sport Stadium
2025-07-31,17:00,Pharco,Air Defense Stadium
2025-08-07,17:00,Zed,Alexandria Stadium
2025-08-16,17:00,Ceramica,Military Academy Stadium
2025-08-23,20:00,Talaea El Gaish,Borg El Arab
2025-09-01,20:00,Masry,Suez Stadium
2025-09-10,20:00,El Dakhleya,Borg El Arab
2025-09-15,17:00,Masry,Zed Club Stadium
2025-09-20,17:00,Al Ahly,Cairo Stadium
2025-09-27,17:00,El Gouna,El Sekka El Hadeed Stadium
2025-10-08,20:00,Zamalek,Borg El Arab
2025-10-12,20:00,Ceramica,Cairo Stadium
2025-10-17,20:00,National Bank,Al Salam Stadium
2025-10-26,20:00,Ismaily,Air Defense Stadium
2025-11-05,17:00,Future,Petro Sport Stadium
2025-11-11,20:00,Future,Petro Sport Stadium
2025-11-26,20:00,Wadi Degla,Borg El Arab
2025-12-08,17:00,Zed,Petro Sport Stadium
2025-12-22,17:00,Modern Sport,Zed Club Stadium
2025-12-31,20:00,Alexandria Union,Air Defense Stadium
2026-01-05,20:00,Zamalek,Zed Club Stadium
2026-01-12,20:00,El Dakhleya,Cairo Stadium
