Date,Time,Opponent,Venue
2025-05-01,17:00,Ismaily,Air Defense Stadium
2025-05-11,20:00,El Gouna,Zed Club Stadium
2025-05-18,20:00,Pharco,Cairo Stadium
2025-05-28,17:00,Zed,Zed Club Stadium
2025-06-02,20:00,Smouha,Air Defense Stadium
2025-06-09,20:00,Ceramica,Cairo Stadium
2025-06-16,17:00,El Dakhleya,El Sekka El Hadeed Stadium
2025-06-22,20:00,El Gouna,Air Defense Stadium
2025-06-29,20:00,Wadi Degla,Petro Sport Stadium
2025-07-07,17:00,Masry,Al Salam Stadium
2025-07-14,20:00,Pyramids,Suez Stadium
2025-07-18,17:00,ENPPI,Military Academy Stadium
2025-07-28,20:00,Pyramids,Military Academy Stadium
2025-08-06,17:00,National Bank,Cairo Stadium
2025-08-11,20:00,Alexandria Union,Cairo Stadium
2025-08-19,17:00,Zamalek,Al Salam Stadium
2025-08-23,20:00,Smouha,Borg El Arab
2025-08-30,20:00,ENPPI,Zed Club Stadium
2025-09-09,20:00,Al Ahly,Air Defense Stadium
2025-09-13,17:00,Ismaily,Al Salam Stadium
2025-09-23,20:00,Wadi Degla,Al Salam Stadium
2025-09-28,17:00,Al Ahly,Borg El Arab
2025-10-02,17:00,El Dakhleya,Zed Club Stadium
2025-10-09,17:00,Pharco,Al Salam Stadium
2025-10-19,17:00,Modern Sport,Air Defense Stadium
2025-10-25,20:00,Future,Military Academy Stadium
2025-11-10,17:00,Modern Sport,Cairo Stadium
2025-11-19,20:00,National Bank,El Sekka El Hadeed Stadium
2025-11-25,17:00,Zed,Borg El Arab
2025-12-03,20:00,Zamalek,Cairo Stadium
2025-12-10,20:00,Masry,Air Defense Stadium
2025-12-15,17:00,Ceramica,El Sekka El Hadeed Stadium
2025-12-28,17:00,Future,El Sekka El Hadeed Stadium
2026-01-07,17:00,Alexandria Union,Military Academy Stadium
