Date,Time,Opponent,Venue
2025-05-07,17:00,ENPPI,Zed Club Stadium
2025-05-11,17:00,Modern Sport,Borg El Arab
2025-05-18,17:00,Pyramids,Al Salam Stadium
2025-05-23,20:00,Zamalek,El Sekka El Hadeed Stadium
2025-06-03,20:00,Zed,Borg El Arab
2025-06-07,17:00,El Gouna,Zed Club Stadium
2025-06-14,20:00,National Bank,Cairo Stadium
2025-06-21,17:00,Future,Borg El Arab
2025-06-29,20:00,Talaea El Gaish,Petro Sport Stadium
2025-07-08,20:00,Future,Petro Sport Stadium
2025-07-14,17:00,El Dakhleya,Petro Sport Stadium
2025-07-18,20:00,El Dakhleya,Cairo Stadium
2025-07-27,20:00,Smouha,Petro Sport Stadium
2025-08-05,20:00,Ismaily,Suez Stadium
2025-08-09,17:00,Pharco,Military Academy Stadium
2025-08-18,17:00,Alexandria Union,Petro Sport Stadium
2025-08-25,20:00,Ismaily,Alexandria Stadium
2025-08-31,17:00,Modern Sport,Military Academy Stadium
2025-09-06,20:00,Ceramica,Zed Club Stadium
2025-09-14,20:00,Zed,Alexandria Stadium
2025-09-23,20:00,Talaea El Gaish,Al Salam Stadium
2025-09-27,20:00,Alexandria Union,Petro Sport Stadium
2025-10-13,17:00,El Gouna,El Sekka El Hadeed Stadium
2025-10-22,20:00,Ceramica,Military Academy Stadium
2025-11-08,17:00,Al Ahly,Borg El Arab
2025-11-18,20:00,Masry,Zed Club Stadium
2025-11-26,20:00,Smouha,Borg El Arab
2025-11-30,20:00,ENPPI,Air Defense Stadium
2025-12-09,17:00,National Bank,Cairo Stadium
2025-12-16,20:00,Zamalek,Suez Stadium
2025-12-23,20:00,Masry,Military Academy Stadium
2025-12-30,20:00,Al Ahly,El Sekka El Hadeed Stadium
2026-01-04,17:00,Pharco,El Sekka El Hadeed Stadium
2026-01-14,17:00,Pyramids,Petro Sport Stadium
