Date,Time,Opponent,Venue
2025-05-01,20:00,Pharco,Alexandria Stadium
2025-05-12,20:00,El Dakhleya,Borg El Arab
2025-05-19,17:00,ENPPI,Suez Stadium
2025-05-23,20:00,Wadi Degla,El Sekka El Hadeed Stadium
2025-06-04,20:00,Ismaily,Al Salam Stadium
2025-06-09,17:00,El Dakhleya,Al Salam Stadium
2025-06-17,17:00,Pyramids,El Sekka El Hadeed Stadium
2025-06-25,20:00,Alexandria Union,Borg El Arab
2025-07-02,17:00,Pharco,Alexandria Stadium
2025-07-06,17:00,Zed,Military Academy Stadium
2025-07-12,17:00,ENPPI,Petro Sport Stadium
2025-07-17,20:00,Zed,Al Salam Stadium
2025-07-30,17:00,Modern Sport,Borg El Arab
2025-08-04,17:00,Al Ahly,Zed Club Stadium
2025-08-11,17:00,National Bank,Al Salam Stadium
2025-08-19,17:00,Talaea El Gaish,Al Salam Stadium
2025-08-23,17:00,Al Ahly,Air Defense Stadium
2025-09-03,20:00,El Gouna,Borg El Arab
2025-09-07,20:00,Ismaily,Military Academy Stadium
2025-09-12,20:00,Alexandria Union,El Sekka El Hadeed Stadium
2025-09-21,17:00,Masry,Al Salam Stadium
2025-10-08,20:00,Smouha,Borg El Arab
2025-10-12,17:00,Future,Suez Stadium
2025-10-27,17:00,Pyramids,El Sekka El Hadeed Stadium
2025-11-01,20:00,Modern Sport,Air Defense Stadium
2025-11-06,17:00,National Bank,El Sekka El Hadeed Stadium
2025-11-16,20:00,Future,Petro Sport Stadium
2025-11-23,20:00,Masry,Air Defense Stadium
2025-12-03,20:00,Talaea El Gaish,Cairo Stadium
2025-12-07,20:00,Ceramica,Air Defense Stadium
2025-12-16,20:00,Wadi Degla,Suez Stadium
2026-01-05,20:00,Smouha,Zed Club Stadium
2026-01-13,20:00,Ceramica,Al Salam Stadium
2026-01-20,20:00,El Gouna,Al Salam Stadium
